nume_of_bus_stops,accessible_population,geographic_coverage,community_area_size,community_num,community_name,makani_points,report_date,population
"36","6124","94","4","382","AL SAFOUH SECOND","886","2024-12-31","6609"
"20","49504","98","3","232","AL QUSAIS FIRST","305","2024-12-31","49504"
"4","2932","100","1","247","AL QUSAIS IND. FOURTH","195","2024-12-31","2932"
"39","36493","100","5","216","AL RASHIDIYA","2668","2024-12-31","38408"
"32","60743","92","9","251","MIRDIF","9601","2024-12-31","68346"
"13","41539","99","10","393","AL THANYAH FIFTH","3646","2024-12-31","41745"
"24","11318","100","1","119","AL RIGGA","153","2024-12-31","11318"
"9","5701","61","4","673","AL BARSHA SOUTH THIRD","120","2024-12-31","8660"
"11","5064","66","2","234","AL QUSAIS THIRD","736","2024-12-31","7685"
"3","7207","100","1","125","RIGGAT AL BUTEEN","64","2024-12-31","7687"
"0","0","0","83","851","REMAH","10","2024-12-31","195"
"0","32","100","13","736","NAZWAH","56","2024-12-31","595"
"46","136368","100","6","264","MUHAISANAH SECOND","620","2024-12-31","150710"
"16","73733","100","2","124","AL MURAQQABAT","507","2024-12-31","73879"
"8","8355","73","10","811","WARSAN THIRD","239","2024-12-31","12638"
"28","16210","92","6","134","AL MAMZAR","489","2024-12-31","16901"
"3","3240","0","60","814","AL ROWAIYAH THIRD","346","2024-12-31","4938"
"10","10999","100","1","242","AL QUSAIS IND. FIRST","323","2024-12-31","11068"
"4","13787","100","1","336","TRADE CENTER SECOND","80","2024-12-31","13787"
"29","36435","100","5","369","AL QOUZ IND.FOURTH","765","2024-12-31","39092"
"0","0","0","13","924","AL YALAYIS 4","0","2024-12-31","8"
"2","49","0","33","835","UMM AL MO'MENEEN","7","2024-12-31","170"
"21","1593","88","4","613","RAS AL KHOR IND. SECOND","888","2024-12-31","1851"
"0","25550","88","27","381","NAKHLAT JUMEIRA","1808","2024-12-31","25550"
"2","27","100","140","981","MUGATRAH","39","2024-12-31","348"
"11","0","0","7","813","AL ROWAIYAH SECOND","21","2024-12-31","0"
"0","0","0","58","501","NAKHLAT JABAL ALI","0","2024-12-31","5"
"0","0","2","6","617","NADD AL SHIBA FOURTH","975","2024-12-31","3968"
"11","7318","68","6","423","AL WARQA'A THIRD","2023","2024-12-31","15901"
"8","7874","70","2","233","AL QUSAIS SECOND","337","2024-12-31","13137"
"12","19248","88","4","354","AL QOUZ FIRST","1564","2024-12-31","21751"
"0","0","0","59","975","AL O'SHOOSH","4","2024-12-31","3"
"11","396","44","113","931","AL LESAILY","1059","2024-12-31","3017"
"5","2323","20","16","281","AL KHWANEEJ FIRST","2275","2024-12-31","13946"
"8","14789","100","1","322","AL HUDAIBA","279","2024-12-31","14789"
"0","0","0","15","735","AL MERYAL","9","2024-12-31","775"
"6","695","10","3","675","AL HEBIAH SECOND","119","2024-12-31","1798"
"0","0","0","11","431","WADI ALSHABAK","197","2024-12-31","90"
"11","6297","100","22","321","MADINAT DUBAI AL MELAHEYAH","63","2024-12-31","8440"
"27","65947","100","2","241","AL NAHDA SECOND","284","2024-12-31","65947"
"1","20","0","7","646","WADI AL SAFA 4","42","2024-12-31","169"
"6","796","0","9","622","WARSAN SECOND","32","2024-12-31","1415"
"1","0","0","17","915","AL YUFRAH 1","9","2024-12-31","403"
"0","0","0","190","971","SAIH AL DAHAL","10","2024-12-31","3"
"10","18372","100","3","345","BURJ KHALIFA","182","2024-12-31","22291"
"16","26115","100","1","122","AL BARAHA","539","2024-12-31","26115"
"8","38128","100","3","334","AL SATWA","1100","2024-12-31","40958"
"2","3081","100","0","114","AL BUTEEN","328","2024-12-31","3081"
"13","2705","99","4","215","UMM RAMOOL","610","2024-12-31","3119"
"26","3220","98","11","812","AL ROWAIYAH FIRST","52","2024-12-31","3283"
"0","1696","0","11","918","AL YUFRAH 3","60","2024-12-31","1754"
"9","15895","95","1","335","TRADE CENTER FIRST","68","2024-12-31","18014"
"0","0","0","30","516","JABAL ALI INDUSTRIAL THIRD","127","2024-12-31","0"
"3","3","14","6","616","NADD AL SHIBA THIRD","1751","2024-12-31","1259"
"23","23381","92","7","681","AL BARSHA SOUTH FOURTH","2544","2024-12-31","29373"
"0","0","0","0","301","JUMEIRA ISLAND ONE","0","2024-12-31","0"
"1","0","0","15","913","UMM NAHAD THIRD","243","2024-12-31","3633"
"4","11","100","1","121","CORNICHE DEIRA","8","2024-12-31","15"
"26","80537","96","19","597","DUBAI INVESTMENT PARK SECOND","587","2024-12-31","80537"
"22","12315","86","4","214","AL GARHOUD","1451","2024-12-31","20168"
"3","20139","100","0","116","AYAL NASIR","289","2024-12-31","20139"
"22","16757","98","5","614","RAS AL KHOR IND. THIRD","225","2024-12-31","22442"
"0","1123","50","35","731","LEHBAB FIRST","250","2024-12-31","3425"
"10","10319","79","3","352","JUMEIRA THIRD","1884","2024-12-31","14476"
"11","6991","58","4","263","AL MIZHAR SECOND","1292","2024-12-31","12239"
"17","19268","80","8","664","WADI AL SAFA 6","4357","2024-12-31","19268"
"0","1012","0","7","415","AL KHEERAN FIRST","40","2024-12-31","2529"
"7","6611","100","1","314","UMM HURAIR FIRST","70","2024-12-31","6611"
"19","49276","100","1","123","AL MUTEENA","831","2024-12-31","49276"
"34","125911","99","5","365","AL QOUZ IND.SECOND","641","2024-12-31","129757"
"33","97209","100","8","621","WARSAN FIRST","1502","2024-12-31","108637"
"12","2765","100","1","246","AL QUSAIS IND. THIRD","195","2024-12-31","2838"
"0","5298","2","129","891","HATTA","1744","2024-12-31","15324"
"7","9508","100","3","284","AL TTAY","111","2024-12-31","10660"
"5","16902","86","2","323","AL JAFILIYA","1022","2024-12-31","25365"
"12","10263","80","3","356","UMM SUQEIM FIRST","1719","2024-12-31","12720"
"12","6175","85","6","376","AL BARSHA SECOND","2003","2024-12-31","16759"
"5","0","0","6","384","AL THANYAH SECOND","2","2024-12-31","0"
"34","58965","100","2","333","AL BADA'","2327","2024-12-31","58965"
"8","5533","100","2","248","AL QUSAIS IND. FIFTH","197","2024-12-31","7032"
"20","6866","87","7","326","AL JADAF","159","2024-12-31","7477"
"10","6734","77","2","353","AL SAFA FIRST","1428","2024-12-31","9228"
"3","0","100","76","861","YARAAH","19","2024-12-31","101"
"0","0","0","12","923","AL YALAYIS 3","3","2024-12-31","4"
"50","199550","94","22","599","JABAL ALI INDUSTRIAL FIRST","867","2024-12-31","199780"
"20","12268","99","3","226","AL TWAR FIRST","551","2024-12-31","12403"
"0","0","0","4","425","AL WARQA'A FIFTH","6","2024-12-31","0"
"2","181","0","35","857","MARGAB","78","2024-12-31","671"
"0","0","0","25","925","AL YALAYIS 5","23","2024-12-31","85"
"37","49604","100","10","626","NADD HESSA","2012","2024-12-31","50559"
"16","4078","67","3","315","UMM HURAIR SECOND","155","2024-12-31","5746"
"65","74748","93","21","591","JABAL ALI FIRST","3179","2024-12-31","78243"
"10","9902","83","4","676","AL HEBIAH THIRD","3435","2024-12-31","9902"
"0","0","0","1","302","JUMEIRA BAY","45","2024-12-31","50"
"4","8918","6","8","416","NADD AL HAMAR","1734","2024-12-31","18520"
"6","117","0","8","624","WARSAN FOURTH","87","2024-12-31","10205"
"12","7996","51","6","671","AL BARSHA SOUTH FIRST","2267","2024-12-31","14761"
"39","26329","98","5","364","AL QOUZ IND.FIRST","499","2024-12-31","28561"
"31","36338","100","2","245","MUHAISANAH FOURTH","201","2024-12-31","36338"
"13","15874","100","2","319","OUD METHA","149","2024-12-31","15874"
