month,year,route_name,trips,load_timestamp
"Apr","2018","C05","91698","2018-06-04 22:45:02"
"Oct","2024","97","6406","2024-12-02 20:13:48"
"Apr","2021","E303A","0","2021-05-31 20:06:13"
"Jul","2019","X94","12738","2019-09-02 20:01:27"
"Oct","2025","F38","50390","2025-12-16 02:47:42"
"Jan","2018","67","17276","2018-03-07 15:37:25"
"Jul","2023","E100","114277","2023-09-11 19:38:20"
"Oct","2020","F22","130600","2020-12-21 19:59:51"
"Apr","2023","F05","15689","2023-08-06 21:09:54"
"Jul","2018","E301","11197","2018-10-11 11:44:50"
"Aug","2018","FS1","12798","2018-10-01 19:31:32"
"Nov","2018","44","74788","2018-12-31 19:57:30"
"Dec","2021","F02","23965","2022-01-31 19:27:13"
"Apr","2021","X25","93105","2021-05-31 20:06:13"
"Jan","2024","F45","18358","2024-04-29 19:42:19"
"Sep","2020","F06","29883","2020-11-16 20:07:53"
"Feb","2020","S09","1651","2020-04-06 15:35:08"
"Oct","2020","66","5979","2020-12-21 19:59:51"
"Feb","2020","F28","70924","2020-04-06 15:35:08"
"Sep","2019","F31","48581","2019-11-04 22:27:56"
"Jun","2025","X64","40225","2025-08-04 19:14:42"
"Mar","2025","F12","116232","2025-05-15 16:46:20"
"Apr","2025","F48","87068","2025-06-02 22:18:56"
"Sep","2024","D03","18735","2024-11-05 16:30:52"
"Jan","2025","63E","39696","2025-03-13 02:05:33"
"Jul","2023","20","100779","2023-09-11 19:38:20"
"Sep","2020","12","107754","2020-11-16 20:07:53"
"Nov","2025","44","95413","2026-01-21 09:23:25"
"Jul","2018","F48","82673","2018-10-11 11:44:50"
"Jul","2025","J04","8972","2025-09-15 19:17:17"
"Jun","2020","F33","9463","2020-08-05 14:12:12"
"Mar","2020","25","24723","2020-05-06 09:44:00"
"Apr","2021","E303","103496","2021-05-31 20:06:13"
"Apr","2018","63E","33963","2018-06-04 22:45:02"
"Mar","2025","X64","37545","2025-05-15 16:46:20"
"Jul","2019","F22","212217","2019-09-02 20:01:27"
"Mar","2023","","11157","2023-08-06 21:08:16"
"Jun","2024","5","133902","2024-07-29 20:27:37"
"Feb","2025","F53","45981","2025-05-15 16:44:58"
"Feb","2020","321","3452","2020-04-06 15:35:08"
"Jan","2019","C03","244567","2019-03-04 19:59:55"
"Jan","2021","F35","26960","2021-03-08 20:05:42"
"Nov","2021","F37","68384","2022-01-10 13:26:15"
"May","2021","F32","39723","2021-08-03 17:12:49"
"Jan","2019","F33","22511","2019-03-04 19:59:55"
"Aug","2025","C28","62526","2025-11-10 19:15:46"
"Jun","2024","14","92864","2024-07-29 20:27:37"
"Apr","2021","43","54675","2021-05-31 20:06:13"
"Feb","2021","61D","1000","2021-05-17 20:03:27"
"Aug","2020","10","47027","2020-10-19 19:59:56"
"Mar","2021","F26","67129","2021-05-16 17:21:08"
"Apr","2025","91","106368","2025-06-02 22:18:56"
"Oct","2019","X02","33138","2019-12-18 19:51:16"
"Apr","2021","E411","7998","2021-05-31 20:06:13"
"Aug","2024","56","13717","2024-10-28 20:08:36"
"Jan","2025","10","62158","2025-03-13 02:05:33"
"Jul","2021","S05","0","2021-08-30 21:30:52"
"Dec","2020","J04","4521","2021-02-08 20:01:03"
"Jul","2023","F62","29899","2023-09-11 19:38:20"
"Mar","2018","43","27129","2018-04-30 20:03:41"
"Oct","2024","C03","188220","2024-12-02 20:13:48"
"Nov","2018","E303A","92026","2018-12-31 19:57:30"
"Oct","2024","F55","45360","2025-01-15 20:43:20"
"Mar","2020","J02","14863","2020-05-06 09:44:00"
"Sep","2020","320","63947","2020-11-16 20:07:53"
"Sep","2019","C03","260818","2019-11-04 22:27:56"
"Apr","2018","43","26985","2018-06-04 22:45:02"
"Aug","2020","7","55610","2020-10-19 19:59:56"
"Jul","2024","62","35811","2024-09-06 19:08:03"
"Feb","2019","C09","77195","2019-04-01 19:58:14"
"Aug","2021","84","85247","2021-10-21 01:01:45"
"Jan","2022","11B","10764","2022-03-07 23:18:26"
"Jan","2024","F17","127727","2024-04-29 19:42:19"
"Dec","2019","F32","44406","2020-02-03 20:08:35"
"Nov","2021","E303","184095","2022-01-10 13:26:15"
"Sep","2021","S20","0","2021-11-01 20:21:11"
"Sep","2018","X22","31737","2018-10-29 19:58:37"
"Jul","2020","F30","9866","2020-09-07 19:56:17"
"May","2025","F24","324584","2025-07-11 20:46:04"
"Apr","2023","GL17","0","2023-08-06 21:09:54"
"Jun","2021","C28","45916","2021-08-03 17:11:24"
"Jul","2020","30","15017","2020-09-07 19:56:17"
"Feb","2025","J01","114782","2025-05-15 16:44:58"
"Mar","2023","","14980","2023-08-06 21:08:16"
"Sep","2024","F12","128406","2024-11-05 16:30:52"
"Oct","2025","X91","79659","2025-12-16 02:47:42"
"Oct","2025","88","294233","2025-12-16 02:47:42"
"Nov","2025","310","226145","2026-01-21 09:23:25"
"Dec","2023","F50","81045","2024-02-28 11:59:51"
"Jan","2018","MD08","17","2018-03-07 15:37:25"
"Jul","2025","F59","10988","2025-09-15 19:17:17"
"Oct","2018","31","23849","2018-12-03 19:50:50"
"Oct","2025","F18","37015","2025-12-16 02:47:42"
"Oct","2024","X92","50378","2024-12-02 20:13:48"
"Oct","2025","X23","148942","2025-12-16 02:47:42"
"Jul","2021","X23","58336","2021-08-30 21:30:52"
"May","2021","44","48827","2021-08-03 17:12:49"
"Mar","2021","9","81013","2021-05-16 17:21:08"
"Jun","2019","F13","62146","2019-07-29 20:04:57"
"Jul","2018","F54","37783","2018-10-11 11:44:50"
"Sep","2019","97","8979","2019-11-04 22:27:56"
"Feb","2021","DC1","0","2021-05-17 20:03:27"
"May","2019","C18","113260","2019-07-01 20:04:23"
"Mar","2018","9","97632","2018-04-30 20:03:41"
"Aug","2024","C04","71756","2024-10-28 20:08:36"
"Jul","2025","F33","33807","2025-09-15 19:17:17"
"Jan","2019","F08","93962","2019-03-04 19:59:55"
"Mar","2021","104","6210","2021-05-16 17:21:08"
"Dec","2018","15","165810","2019-02-04 19:58:17"
"Apr","2021","F43","50988","2021-05-31 20:06:13"
"Sep","2018","33","186809","2018-10-29 19:58:37"
"May","2021","C26","64409","2021-08-03 17:12:49"
"Jul","2023","F09","36708","2023-09-11 19:38:20"
"Jul","2019","34","2010","2019-09-02 20:01:27"
"Jan","2018","J01","46826","2018-03-07 15:37:25"
"Dec","2018","F33","21855","2019-02-04 19:58:17"
"Sep","2019","28","288923","2019-11-04 22:27:56"
"Oct","2020","104","0","2020-12-21 19:59:51"
"Jan","2024","DS1","18084","2024-04-29 19:42:19"
"Jul","2024","DS1","13749","2024-09-06 19:08:03"
"Jan","2022","5","56297","2022-03-07 23:18:26"
"Jul","2020","91A","25582","2020-09-07 19:56:17"
"Jul","2018","F24","208145","2018-10-11 11:44:50"
"Aug","2021","X64","34321","2021-10-21 01:01:45"
"May","2024","10","96402","2024-07-02 15:24:13"
"Mar","2025","F81","62492","2025-05-15 16:46:20"
"Jun","2023","C10","140184","2023-09-21 12:21:10"
"Apr","2023","X02","37136","2023-08-06 21:09:54"
"Nov","2025","F12","126330","2026-01-21 09:23:25"
"Jun","2024","F51","38460","2024-07-29 20:27:37"
"Jan","2018","C07","115957","2018-03-07 15:37:25"
"Jul","2025","E411","14896","2025-09-15 19:17:17"
"Jul","2021","E304","0","2021-08-30 21:30:52"
"Jul","2024","27","68196","2024-09-06 19:08:03"
"Aug","2024","20A","53664","2024-10-28 20:08:36"
"Jan","2018","F05","22068","2018-03-07 15:37:25"
"Dec","2025","13A","95077","2026-01-21 09:22:59"
"Dec","2020","61","49731","2021-02-08 20:01:03"
"Nov","2025","C26","188539","2026-01-21 09:23:25"
"Feb","2025","DH1","22458","2025-05-15 16:44:58"
"Jul","2018","F29","86324","2018-10-11 11:44:50"
"Apr","2021","FR5","0","2021-05-31 20:06:13"
"Aug","2025","91","115034","2025-11-10 19:15:46"
"Feb","2025","34","31220","2025-05-15 16:44:58"
"Mar","2021","S01","0","2021-05-16 17:21:08"
"Dec","2018","32C","241068","2019-02-04 19:58:17"
"Oct","2024","F07","157551","2024-12-02 20:13:48"
"Dec","2020","43","54592","2021-02-08 20:01:03"
"Jun","2021","61","50614","2021-08-03 17:11:24"
"Apr","2024","J04","8774","2024-07-01 20:00:44"
"Nov","2018","F53","42202","2018-12-31 19:57:30"
"Nov","2018","17","67432","2018-12-31 19:57:30"
"Jun","2018","D03A","14358","2018-10-11 11:44:48"
"Aug","2020","F30","19697","2020-10-19 19:59:56"
"Jul","2019","67","14135","2019-09-02 20:01:27"
"Feb","2020","E201","51024","2020-04-06 15:35:08"
"Sep","2023","310","193444","2023-11-03 11:50:41"
"Jul","2021","F37","49518","2021-08-30 21:30:52"
"Sep","2023","97","3408","2023-11-03 11:50:41"
"Sep","2019","64A","55419","2019-11-04 22:27:56"
"May","2018","C14","145590","2018-10-11 11:44:46"
"Jan","2021","34","8641","2021-03-08 20:05:42"
"May","2020","83","7610","2020-07-01 18:39:31"
"Mar","2022","F18","52180","2022-05-09 21:24:52"
"Apr","2021","E303A","0","2021-05-31 20:06:13"
"Feb","2020","F23","200566","2020-04-06 15:35:08"
"Aug","2024","110","24160","2024-10-28 20:08:36"
"Dec","2018","C14","149427","2019-02-04 19:58:17"
"Feb","2021","F32","32022","2021-05-17 20:03:27"
"Mar","2023","21","243388","2023-08-06 21:08:16"
"Oct","2024","84","171039","2025-01-15 20:43:20"
"Mar","2022","C26","95769","2022-05-09 21:24:52"
"Dec","2021","F35","37073","2022-01-31 19:27:13"
"Jul","2021","20","63142","2021-08-30 21:30:52"
"Jun","2019","F17","44983","2019-07-29 20:04:57"
"Apr","2021","X25","93105","2021-05-31 20:06:13"
"Apr","2025","F28","81835","2025-06-02 22:18:56"
