route_name,route_type,stop_number,load_timestamp,stop_name,direction
"F08","Feeder","7","2026-03-30 17:29:27","Dubai Carmel School 1","NTSPS1 -> DFCFC1"
"F21","Feeder","18","2026-03-30 17:29:27","null","ANMS4 -> ANMS4"
"F08","Feeder","12","2026-03-30 17:29:27","Damascus Road 3-1","NTSPS1 -> DFCFC1"
"53","Urban","21","2026-03-30 17:29:27","null","ICPM1 -> GSBS4"
"F21","Feeder","17","2026-03-30 17:29:27","null","ANMS4 -> ANMS4"
"13","Urban","11","2026-03-30 17:29:27","Stadium Metro Bus Stop 1","GSBS9 -> QSDH11"
"53","Urban","19","2026-03-30 17:29:27","International City, Post office 1","GSBS4 -> ICPM1"
"F28","Feeder","3","2026-03-30 17:29:27","null","ETMS2 -> ETMS2"
"F20","Feeder","9","2026-03-30 17:29:27","Al Safa, Street 13A-1","BBMS1 -> BBMS1"
"X28","Urban","25","2026-03-30 17:29:27","null","LLV1 -> DICMS1"
"F35","Feeder","7","2026-03-30 17:29:27","Al Barsha B-1","MEMS1 -> MEMS1"
"F20","Feeder","6","2026-03-30 17:29:27","null","BBMS1 -> BBMS1"
"F25","Feeder","2","2026-03-30 17:29:27","Al Quoz, Pure Water Filling Company 2","FGBMLS1 -> QCRMT1"
"F24","Feeder","0","2026-03-30 17:29:27","null","QIA3T1 -> SMS2"
"F08","Feeder","21","2026-03-30 17:29:27","Al Nahda, Motawa Bldg","DFCFC1 -> NTSPS1"
"22","Urban","22","2026-03-30 17:29:27","null","DCCT1 -> AN1T21"
"F08","Feeder","8","2026-03-30 17:29:27","null","DFCFC1 -> NTSPS1"
"F21","Feeder","0","2026-03-30 17:29:27","Al Nahda  Metro Bus Stop 2","ANMS4 -> ANMS4"
"F41","Feeder","17","2026-03-30 17:29:27","null","BBMSL1 -> BBMSL1"
"X28","Urban","35","2026-03-30 17:29:27","null","LLV1 -> DICMS1"
"F25","Feeder","15","2026-03-30 17:29:27","Al Quoz, Emirates Glass 1","FGBMLS1 -> FGBMLS1"
"53","Urban","16","2026-03-30 17:29:27","City Centre Metro Bus Stop 1-3","ICPM1 -> GSBS4"
"F18","Feeder","4","2026-03-30 17:29:27","null","OMMST1 -> OMMST1"
"F24","Feeder","9","2026-03-30 17:29:27","Al Nahda 1, Mai Tower","QIA3T1 -> SMS2"
