nationality,gender,license_type,age_group,licenses_num,load_timestamp
"اذربيجان","MALE","Change Plate Number","19-20","1","2026-02-23 16:21:09"
"نيوزيلندا","FEMALE","Registration","30-40","1","2026-02-23 16:21:09"
"اليمن","FEMALE","Registration","30-40","9","2026-02-23 16:21:09"
"اوكرانيا","FEMALE","Change Plate Number","40-60","1","2026-02-23 16:21:09"
"بلغاريا","MALE","Registration","40-60","6","2026-02-23 16:21:09"
"جمهوريه قرغيزيا","MALE","Registration","40-60","1","2026-02-23 16:21:09"
"الامارات","MALE","Update Info","40-60","38","2026-02-23 16:21:09"
"اوزباكستان","MALE","Registration","60+","1","2026-02-23 16:21:09"
"ايرلندا","FEMALE","Registration","40-60","7","2026-02-23 16:21:09"
"الامارات","MALE","Change Plate Number","20-30","9","2026-02-23 16:21:09"
"صربيا","FEMALE","Registration","40-60","3","2026-02-23 16:21:09"
"الدانمارك","MALE","Registration","20-30","1","2026-02-23 16:21:09"
"هولندا","MALE","Transfer of Ownership","40-60","1","2026-02-23 16:21:09"
"السويد","FEMALE","Registration","20-30","4","2026-02-23 16:21:09"
"بنغلاديش","MALE","Registration","30-40","93","2026-02-23 16:21:09"
"بولندا","MALE","Registration","60+","1","2026-02-23 16:21:09"
"المملكه المتحدة","FEMALE","Transfer of Ownership","40-60","2","2026-02-23 16:21:09"
"اذربيجان","MALE","Registration","19-20","2","2026-02-23 16:21:09"
"فرنسا","MALE","Transfer of Ownership","30-40","2","2026-02-23 16:21:09"
"اوكرانيا","MALE","Update Info","30-40","1","2026-02-23 16:21:09"
"اوكرانيا","FEMALE","Registration","30-40","31","2026-02-23 16:21:09"
"روسيا البيضاء","FEMALE","Registration","30-40","9","2026-02-23 16:21:09"
"غينيا","MALE","Registration","40-60","1","2026-02-23 16:21:09"
"فنزويلا","MALE","Registration","40-60","4","2026-02-23 16:21:09"
"الفلبين","FEMALE","Registration","20-30","13","2026-02-23 16:21:09"
"السودان","FEMALE","Registration","30-40","20","2026-02-23 16:21:09"
"البانيا","MALE","Registration","40-60","2","2026-02-23 16:21:09"
"الولايات المتحدة","FEMALE","Registration","40-60","17","2026-02-23 16:21:09"
"هولندا","MALE","Update Info","30-40","1","2026-02-23 16:21:09"
"الصين","MALE","Update Info","40-60","1","2026-02-23 16:21:09"
"العراق","MALE","Registration","19-20","1","2026-02-23 16:21:09"
"مملكة البحرين","MALE","Change Plate Number","40-60","1","2026-02-23 16:21:09"
"مملكة البحرين","MALE","Registration","20-30","4","2026-02-23 16:21:09"
"ايران","MALE","Transfer of Ownership","30-40","2","2026-02-23 16:21:09"
"صربيا","MALE","Registration","60+","1","2026-02-23 16:21:09"
"مصر","MALE","Transfer of Ownership","20-30","3","2026-02-23 16:21:09"
"تنزانيا","FEMALE","Registration","40-60","2","2026-02-23 16:21:09"
"غانا","MALE","Registration","20-30","5","2026-02-23 16:21:09"
"سيريلانكا","MALE","Registration","20-30","21","2026-02-23 16:21:09"
"جنوب افريقيا","MALE","Registration","20-30","11","2026-02-23 16:21:09"
"فيتنام","MALE","Registration","20-30","1","2026-02-23 16:21:09"
"استراليا","FEMALE","Registration","30-40","10","2026-02-23 16:21:09"
"كرواتيا","MALE","Registration","40-60","1","2026-02-23 16:21:09"
"فلسطين","MALE","Registration","30-40","27","2026-02-23 16:21:09"
"مصر","FEMALE","Registration","30-40","69","2026-02-23 16:21:09"
"النمسا","MALE","Transfer of Ownership","30-40","1","2026-02-23 16:21:09"
"صربيا","MALE","Registration","40-60","8","2026-02-23 16:21:09"
"زيمبابوي","MALE","Registration","20-30","1","2026-02-23 16:21:09"
"ايطاليا","MALE","Registration","40-60","48","2026-02-23 16:21:09"
"بنما","MALE","Registration","20-30","1","2026-02-23 16:21:09"
"لبنان","FEMALE","Registration","30-40","44","2026-02-23 16:21:09"
"فرنسا","MALE","Update Info","30-40","1","2026-02-23 16:21:09"
"الولايات المتحدة","MALE","Registration","60+","12","2026-02-23 16:21:09"
"لبنان","FEMALE","Registration","60+","2","2026-02-23 16:21:09"
"فرنسا","MALE","Registration","40-60","117","2026-02-23 16:21:09"
"موريشيوس","MALE","Registration","30-40","1","2026-02-23 16:21:09"
"هولندا","MALE","Change Plate Number","30-40","1","2026-02-23 16:21:09"
"جنوب افريقيا","FEMALE","Change Plate Number","40-60","1","2026-02-23 16:21:09"
"عمان","FEMALE","Registration","40-60","3","2026-02-23 16:21:09"
"الصين","FEMALE","Transfer of Ownership","30-40","2","2026-02-23 16:21:09"
"بلجيكا","FEMALE","Registration","60+","1","2026-02-23 16:21:09"
"المانيا","MALE","Registration","40-60","66","2026-02-23 16:21:09"
"كولومبيا","FEMALE","Registration","30-40","1","2026-02-23 16:21:09"
"النمسا","MALE","Registration","20-30","1","2026-02-23 16:21:09"
"سلوفينيا","MALE","Registration","20-30","2","2026-02-23 16:21:09"
"فلسطين","MALE","Change Plate Number","30-40","1","2026-02-23 16:21:09"
"الكاميرون","FEMALE","Registration","30-40","2","2026-02-23 16:21:09"
"تشيلي","MALE","Registration","30-40","1","2026-02-23 16:21:09"
"سنغافوره","MALE","Registration","30-40","2","2026-02-23 16:21:09"
"اثيوبيا","MALE","Registration","30-40","15","2026-02-23 16:21:09"
"ايطاليا","FEMALE","Registration","40-60","6","2026-02-23 16:21:09"
"دومينيكا","MALE","Registration","30-40","22","2026-02-23 16:21:09"
"نيبال","FEMALE","Registration","40-60","1","2026-02-23 16:21:09"
"ايران","MALE","Change Plate Number","60+","1","2026-02-23 16:21:09"
"صربيا","MALE","Transfer of Ownership","40-60","1","2026-02-23 16:21:09"
"قيرغيزستان","FEMALE","Registration","20-30","7","2026-02-23 16:21:09"
"افغانستان","MALE","Registration","60+","4","2026-02-23 16:21:09"
"تركيا","FEMALE","Registration","40-60","24","2026-02-23 16:21:09"
"دومينيكا","FEMALE","Change Plate Number","20-30","1","2026-02-23 16:21:09"
"اليمن","MALE","Registration","30-40","35","2026-02-23 16:21:09"
"فرنسا","MALE","Registration","20-30","18","2026-02-23 16:21:09"
"الاردن","MALE","Registration","30-40","94","2026-02-23 16:21:09"
"الهند","MALE","Transfer of Ownership","20-30","10","2026-02-23 16:21:09"
"الهند","MALE","Registration","30-40","1535","2026-02-23 16:21:09"
"كوبا","FEMALE","Registration","30-40","1","2026-02-23 16:21:09"
"افغانستان","MALE","Change Plate Number","20-30","1","2026-02-23 16:21:09"
"اذربيجان","FEMALE","Registration","30-40","3","2026-02-23 16:21:09"
"الارجنتين","FEMALE","Registration","40-60","1","2026-02-23 16:21:09"
"عمان","FEMALE","Registration","60+","1","2026-02-23 16:21:09"
"المكسيك","FEMALE","Registration","40-60","3","2026-02-23 16:21:09"
"دومينيكا","MALE","Change Plate Number","30-40","1","2026-02-23 16:21:09"
"مصر","MALE","Registration","30-40","457","2026-02-23 16:21:09"
"المغرب","MALE","Change Plate Number","40-60","1","2026-02-23 16:21:09"
"طاجكستان","MALE","Registration","20-30","8","2026-02-23 16:21:09"
"المالديف","MALE","Update Info","30-40","1","2026-02-23 16:21:09"
"الصين","MALE","Change Plate Number","20-30","1","2026-02-23 16:21:09"
"تونس","MALE","Registration","30-40","17","2026-02-23 16:21:09"
"السويد","MALE","Registration","30-40","8","2026-02-23 16:21:09"
"سانت كيتس ونيفيس","MALE","Registration","60+","2","2026-02-23 16:21:09"
"لوكسمبورغ","FEMALE","Registration","60+","1","2026-02-23 16:21:09"
"الكونغو","FEMALE","Registration","20-30","1","2026-02-23 16:21:09"
"ماليزيا","MALE","Registration","20-30","2","2026-02-23 16:21:09"
"فرنسا","MALE","Transfer of Ownership","40-60","3","2026-02-23 16:21:09"
"دومينيكا","FEMALE","Registration","20-30","2","2026-02-23 16:21:09"
"الاردن","MALE","Transfer of Ownership","30-40","3","2026-02-23 16:21:09"
"ايران","MALE","Registration","60+","17","2026-02-23 16:21:09"
"رواندا","MALE","Registration","30-40","1","2026-02-23 16:21:09"
"لبنان","MALE","Registration","60+","8","2026-02-23 16:21:09"
"تركيا","FEMALE","Change Plate Number","30-40","1","2026-02-23 16:21:09"
"تونس","MALE","Registration","40-60","18","2026-02-23 16:21:09"
"اوغنده","FEMALE","Registration","30-40","4","2026-02-23 16:21:09"
"العراق","FEMALE","Registration","20-30","3","2026-02-23 16:21:09"
"سيريلانكا","FEMALE","Transfer of Ownership","40-60","1","2026-02-23 16:21:09"
"انتيجوا و باربودا","FEMALE","Registration","40-60","2","2026-02-23 16:21:09"
"مصر","FEMALE","Registration","40-60","73","2026-02-23 16:21:09"
"ايران","MALE","Registration","30-40","106","2026-02-23 16:21:09"
"دومينيكا","FEMALE","Transfer of Ownership","40-60","1","2026-02-23 16:21:09"
"الصومال","MALE","Registration","40-60","2","2026-02-23 16:21:09"
"فنزويلا","FEMALE","Registration","20-30","1","2026-02-23 16:21:09"
"مالي","MALE","Registration","40-60","1","2026-02-23 16:21:09"
"دومينيكا","MALE","Update Info","40-60","1","2026-02-23 16:21:09"
"سوريا","MALE","Change Plate Number","30-40","2","2026-02-23 16:21:09"
"الفلبين","MALE","Update Info","30-40","1","2026-02-23 16:21:09"
"نيجيريا","MALE","Registration","20-30","2","2026-02-23 16:21:09"
"لبنان","MALE","Transfer of Ownership","30-40","2","2026-02-23 16:21:09"
"تايون","FEMALE","Registration","40-60","1","2026-02-23 16:21:09"
"بنغلاديش","FEMALE","Registration","40-60","6","2026-02-23 16:21:09"
"كينيا","FEMALE","Registration","30-40","10","2026-02-23 16:21:09"
"اثيوبيا","FEMALE","Registration","20-30","1","2026-02-23 16:21:09"
"طاجكستان","MALE","Registration","19-20","1","2026-02-23 16:21:09"
"مقدونيا","MALE","Registration","40-60","3","2026-02-23 16:21:09"
"تشيلي","MALE","Registration","40-60","2","2026-02-23 16:21:09"
"جيبوتي","MALE","Registration","60+","1","2026-02-23 16:21:09"
"البرازيل","FEMALE","Change Plate Number","40-60","1","2026-02-23 16:21:09"
"التشيك","MALE","Registration","40-60","2","2026-02-23 16:21:09"
"البرتغال","FEMALE","Registration","30-40","6","2026-02-23 16:21:09"
"ايران","FEMALE","Transfer of Ownership","30-40","2","2026-02-23 16:21:09"
"كرواتيا","MALE","Registration","30-40","1","2026-02-23 16:21:09"
"الجزائر","MALE","Registration","20-30","10","2026-02-23 16:21:09"
"تونس","MALE","Registration","60+","1","2026-02-23 16:21:09"
"لبنان","MALE","Update Info","30-40","1","2026-02-23 16:21:09"
"الاردن","FEMALE","Change Plate Number","20-30","1","2026-02-23 16:21:09"
"روسيا","FEMALE","Registration","30-40","69","2026-02-23 16:21:09"
"النمسا","MALE","Registration","40-60","8","2026-02-23 16:21:09"
"هولندا","FEMALE","Registration","19-20","1","2026-02-23 16:21:09"
"منغوليا","MALE","Registration","30-40","1","2026-02-23 16:21:09"
