operator_name,fleet_size,load_timestamp,report_date,operator_type
"Cars Taxi","3721","2026-02-27 01:23:41","2026-01-31","Franchisee"
"Arabia Taxi","1607","2026-02-27 01:23:41","2026-01-31","Franchisee"
"metro taxi ","756","2026-02-27 01:23:41","2026-01-31","Franchisee"
"National Taxi","1823","2026-02-27 01:23:41","2026-01-31","Franchisee"
"Arabia Taxi","1607","2026-01-21 17:39:06","2025-11-30","Franchisee"
"Cars Taxi","3675","2026-01-21 17:39:06","2025-11-30","Franchisee"
"metro taxi ","756","2026-01-21 17:39:06","2025-11-30","Franchisee"
"National Taxi","1823","2026-01-21 17:39:06","2025-11-30","Franchisee"
"National Taxi","1823","2026-01-21 16:59:12","2025-12-31","Franchisee"
"Arabia Taxi","1607","2026-01-21 16:59:12","2025-12-31","Franchisee"
"Cars Taxi","3675","2026-01-21 16:59:12","2025-12-31","Franchisee"
"metro taxi ","756","2026-01-21 16:59:12","2025-12-31","Franchisee"
"National Taxi","1823","2025-12-17 07:16:32","2025-10-31","Franchisee"
"metro taxi ","756","2025-12-17 07:16:32","2025-10-31","Franchisee"
"Cars Taxi","3600","2025-12-17 07:16:32","2025-10-31","Franchisee"
"Arabia Taxi","1607","2025-12-17 07:16:32","2025-10-31","Franchisee"
"National Taxi","1823","2025-11-28 21:05:46","2025-09-30","Franchisee"
"metro taxi ","756","2025-11-28 21:05:46","2025-09-30","Franchisee"
"Cars Taxi","3510","2025-11-28 21:05:46","2025-09-30","Franchisee"
"Arabia Taxi","1607","2025-11-28 21:05:46","2025-09-30","Franchisee"
"Cars Taxi","1968","2022-01-07 14:13:49","2021-10-31","Franchisee"
"Cars Taxi","1790","2021-05-10 20:05:44","2021-01-31","Franchisee"
"DTC - Airport Taxi - Al Maktoum","50","2020-02-03 16:18:30","2019-09-23","Dubai Taxi Corporation"
"Arabia Taxi","1528","2023-09-22 09:27:17","2023-03-31","Franchisee"
"Arabia Taxi","1607","2024-10-28 20:21:48","2024-08-30","Franchisee"
"National Taxi","1823","2025-01-15 20:45:10","2024-11-30","Franchisee"
"Metro Taxi","756","2021-01-04 20:04:11","2020-11-30","Franchisee"
"National Taxi","1734","2023-08-18 13:05:48","2023-05-31","Franchisee"
"One Road Taxi","87","2021-05-10 20:07:53","2021-02-28","Franchisee"
"metro taxi ","713","2024-02-28 12:02:03","2023-05-31","Franchisee"
"metro taxi ","713","2024-02-28 12:02:03","2023-05-31","Franchisee"
"Cars Taxi","3205","2025-05-15 16:54:40","2025-03-31","Franchisee"
"Cars Taxi","2905","2024-03-08 15:28:13","2024-01-31","Franchisee"
"National Taxi","1823","2024-07-29 20:52:14","2024-06-30","Franchisee"
"metro taxi ","754","2025-05-15 16:52:14","2025-02-28","Franchisee"
"City Taxi","35","2020-11-16 20:13:52","2020-09-30","Franchisee"
"One Road Taxi","0","2022-01-07 14:13:49","2021-10-31","Franchisee"
"metro taxi ","754","2025-10-10 19:12:41","2025-08-31","Franchisee"
"DTC - Market Taxi","0","2020-02-03 16:18:30","2019-09-23","Dubai Taxi Corporation"
"National Taxi","1823","2024-04-29 20:05:19","2024-03-31","Franchisee"
"Metro Taxi","756","2020-11-16 20:13:52","2020-09-30","Franchisee"
"metro taxi ","713","2023-09-22 09:27:17","2023-03-31","Franchisee"
"National Taxi","1734","2023-09-22 09:27:17","2023-03-31","Franchisee"
"metro taxi ","756","2024-09-02 20:43:52","2024-07-31","Franchisee"
"National Taxi","1735","2020-12-21 20:01:55","2020-10-31","Franchisee"
"One Road Taxi","100","2020-10-19 20:07:29","2020-08-31","Franchisee"
"Metro Taxi","756","2020-10-19 20:07:29","2020-08-31","Franchisee"
"National Taxi","1535","2021-05-10 20:07:53","2021-02-28","Franchisee"
"National Taxi","1535","2021-05-10 20:15:16","2021-03-31","Franchisee"
"National Taxi","1735","2020-10-19 20:07:29","2020-08-31","Franchisee"
"Arabia Taxi","928","2020-02-03 16:18:24","2019-10-31","Franchisee"
"metro taxi ","754","2024-07-01 20:05:15","2024-05-31","Franchisee"
"Cars Taxi","2025","2020-02-03 16:18:28","2019-09-30","Franchisee"
"City Taxi","35","2020-04-06 15:35:38","2020-02-29","Franchisee"
"National Taxi","1823","2025-03-13 02:11:19","2025-01-31","Franchisee"
"metro taxi ","693","2022-01-10 13:26:59","2021-11-30","Franchisee"
"Cars Taxi","1790","2021-08-04 16:33:38","2021-06-30","Franchisee"
"Arabia Taxi","1607","2025-05-15 16:54:40","2025-03-31","Franchisee"
"National Taxi","1535","2021-08-02 20:14:51","2021-05-31","Franchisee"
"National Taxi","1823","2025-02-05 19:08:58","2024-12-31","Franchisee"
"Arabia Taxi","1607","2025-07-09 10:17:16","2025-05-31","Franchisee"
"metro taxi ","713","2024-04-29 20:05:19","2024-03-31","Franchisee"
"metro taxi ","756","2024-07-29 20:52:14","2024-06-30","Franchisee"
"metro taxi ","754","2025-05-15 16:54:40","2025-03-31","Franchisee"
"National Taxi","1734","2020-02-03 16:18:28","2019-09-30","Franchisee"
"metro taxi ","754","2024-06-03 20:30:01","2024-04-30","Franchisee"
"DTC - Limousine","557","2020-02-03 16:18:30","2019-09-23","Dubai Taxi Corporation"
