month,year,trips,transport_type,load_timestamp
"Jan","2026","6","Eppco,","2026-02-27 02:23:27"
"Jan","2026","90","Motor ","2026-02-27 02:23:27"
"Jan","2026","7527","Al Fur","2026-02-27 02:23:27"
"Jan","2026","60","Sport ","2026-02-27 02:23:27"
"Jan","2026","84","Al Nah","2026-02-27 02:23:27"
"Jan","2026","11160","Al Qus","2026-02-27 02:23:27"
"Jan","2026","57","Uptown","2026-02-27 02:23:27"
"Jan","2026","3418","Al Jaf","2026-02-27 02:23:27"
"Jan","2026","26","Crowne","2026-02-27 02:23:27"
"Jan","2026","1282","Al Qus","2026-02-27 02:23:27"
"Jan","2026","585","Al Qus","2026-02-27 02:23:27"
"Jan","2026","612","Dubai ","2026-02-27 02:23:27"
"Jan","2026","188","Intern","2026-02-27 02:23:27"
"Jan","2026","42","Silico","2026-02-27 02:23:27"
"Jan","2026","232","Wuhaid","2026-02-27 02:23:27"
"Jan","2026","264","Manara","2026-02-27 02:23:27"
"Jan","2026","459","Dhiyaf","2026-02-27 02:23:27"
"Jan","2026","182","Sport ","2026-02-27 02:23:27"
"Jan","2026","123","Discov","2026-02-27 02:23:27"
"Jan","2026","72","Creek ","2026-02-27 02:23:27"
"Jan","2026","150","The Me","2026-02-27 02:23:27"
"Jan","2026","48","Rig Me","2026-02-27 02:23:27"
"Jan","2026","51","Sharja","2026-02-27 02:23:27"
"Jan","2026","320","Jebel ","2026-02-27 02:23:27"
"Jan","2026","198","Umm Su","2026-02-27 02:23:27"
"Jan","2026","25317","Mashre","2026-02-27 02:23:27"
"Jan","2026","443","7 Up S","2026-02-27 02:23:27"
"Jan","2026","683","Intern","2026-02-27 02:23:27"
"Jan","2026","97","JVC, S","2026-02-27 02:23:27"
"Jan","2026","1033","Hadayb","2026-02-27 02:23:27"
"Jan","2026","53","Abu Ba","2026-02-27 02:23:27"
"Jan","2026","82","Infote","2026-02-27 02:23:27"
"Jan","2026","121","Abu Ha","2026-02-27 02:23:27"
"Jan","2026","3","Hidaya","2026-02-27 02:23:27"
"Jan","2026","356","Abdall","2026-02-27 02:23:27"
"Jan","2026","20723","Dubai ","2026-02-27 02:23:27"
"Jan","2026","35","Al Qus","2026-02-27 02:23:27"
"Jan","2026","178","Max Ga","2026-02-27 02:23:27"
"Jan","2026","17","Nad Al","2026-02-27 02:23:27"
"Jan","2026","1745","Dubai ","2026-02-27 02:23:27"
"Jan","2026","5102","Al Jad","2026-02-27 02:23:27"
"Jan","2026","24853","Al Ghu","2026-02-27 02:23:27"
"Jan","2026","570","Al Kar","2026-02-27 02:23:27"
"Jan","2026","26463","Oud Me","2026-02-27 02:23:27"
"Jan","2026","331","Oasis ","2026-02-27 02:23:27"
"Jan","2026","26","Inter ","2026-02-27 02:23:27"
"Jan","2026","55","Rashid","2026-02-27 02:23:27"
"Jan","2026","160","Al Bar","2026-02-27 02:23:27"
"Jan","2026","143","Manama","2026-02-27 02:23:27"
"Jan","2026","322","Sobha ","2026-02-27 02:23:27"
"Jan","2026","175","Max Ga","2026-02-27 02:23:27"
"Jan","2026","3","JVC, M","2026-02-27 02:23:27"
"Jan","2026","23560","First ","2026-02-27 02:23:27"
"Jan","2026","99","BurJum","2026-02-27 02:23:27"
"Jan","2026","259","Manara","2026-02-27 02:23:27"
"Jan","2026","78","Ghadee","2026-02-27 02:23:27"
"Jan","2026","54","Ras Al","2026-02-27 02:23:27"
"Jan","2026","12","Godolp","2026-02-27 02:23:27"
"Jan","2026","200","Specia","2026-02-27 02:23:27"
"Jan","2026","351","Sheikh","2026-02-27 02:23:27"
"Jan","2026","25","Renaul","2026-02-27 02:23:27"
"Jan","2026","14","Royal ","2026-02-27 02:23:27"
"Jan","2026","406","Al Nak","2026-02-27 02:23:27"
"Jan","2026","302","Imam A","2026-02-27 02:23:27"
"Jan","2026","1878","Cargo ","2026-02-27 02:23:27"
"Jan","2026","130","The Gr","2026-02-27 02:23:27"
"Jan","2026","66","Coral ","2026-02-27 02:23:27"
"Jan","2026","97","Britis","2026-02-27 02:23:27"
"Jan","2026","127","Wuhaid","2026-02-27 02:23:27"
"Jan","2026","701","XL Tow","2026-02-27 02:23:27"
"Jan","2026","108","Rashid","2026-02-27 02:23:27"
"Jan","2026","175","Americ","2026-02-27 02:23:27"
"Jan","2026","1032","EXPO M","2026-02-27 02:23:27"
"Jan","2026","174","Al Qus","2026-02-27 02:23:27"
"Jan","2026","53025","Union ","2026-02-27 02:23:27"
"Jan","2026","212","Silico","2026-02-27 02:23:27"
"Jan","2026","81","Wasl R","2026-02-27 02:23:27"
"Jan","2026","66","Intern","2026-02-27 02:23:27"
"Jan","2026","571","Islami","2026-02-27 02:23:27"
"Jan","2026","78","BurJum","2026-02-27 02:23:27"
"Jan","2026","122","DIP1, ","2026-02-27 02:23:27"
"Jan","2026","260","Al Qus","2026-02-27 02:23:27"
"Jan","2026","12547","Etisal","2026-02-27 02:23:27"
"Jan","2026","426","Dubai ","2026-02-27 02:23:27"
"Jan","2026","54649","Al Rig","2026-02-27 02:23:27"
"Jan","2026","652","Silico","2026-02-27 02:23:27"
"Jan","2026","15852","Al Nah","2026-02-27 02:23:27"
"Jan","2026","57","Hamara","2026-02-27 02:23:27"
"Jan","2026","7","Govern","2026-02-27 02:23:27"
"Jan","2026","130","Rashid","2026-02-27 02:23:27"
"Jan","2026","3359","The Gr","2026-02-27 02:23:27"
