length_km,classification,sub_classification,load_timestamp,report_date
"781","فردي","طريق حر","2022-01-31 20:24:36","2019-12-31"
"6121","محلية سكنية ","فردية","2025-08-15 19:12:31","2024-12-31"
"278","فردي	","طريق سريع	","2024-08-02 17:39:20","2022-12-31"
"1413","مزدوج","طريق سريع","2022-02-03 17:58:08","2021-12-31"
"195","فردي","طريق سريع ","2022-01-31 20:22:46","2018-12-31"
"278","اطوال الطرق - طريق سريع ","فردي","2025-08-15 19:12:31","2024-12-31"
"1413","مزدوج","طريق سريع","2021-08-05 12:31:35","2020-12-31"
"3067","مزدوج","طريق رئيسي","2021-08-05 12:31:35","2020-12-31"
"3145","مزدوج	","طريق رئيسي	","2024-08-02 17:39:20","2022-12-31"
"2745","مزدوج","طريق رئيسي ","2022-01-31 20:22:46","2018-12-31"
"4275","فردية	","طرق محلية سكنية	","2024-08-02 17:39:20","2022-12-31"
"979","فردي","طريق رئيسي ","2022-01-31 20:22:46","2018-12-31"
"4090","فردي","طريق محلية سكنية ","2022-01-31 20:22:46","2018-12-31"
"821","طريق حر"," فردي","2025-08-15 19:12:31","2024-12-31"
"3180","أطوال الطرق - طريق رئيسي","مزدوج","2025-08-15 19:12:31","2024-12-31"
"278","طريق سريع"," فردي","2025-08-15 19:12:31","2024-12-31"
"1599","مزدوج	","طريق سريع	","2024-08-02 17:39:20","2022-12-31"
"1874","اطوال الطرق -طرق صناعية /تجارية -منفذه من قبل الهي","فردية ","2025-08-15 19:12:31","2024-12-31"
"811","فردي	","طريق حر	","2024-08-02 17:39:20","2022-12-31"
"1874","فردية	","طرق صناعية / تجاري	","2024-08-02 17:41:51","2023-12-31"
"1843","فردي","طرق صناعية/تجارية ","2022-01-31 20:22:46","2018-12-31"
"1599","مزدوج	","طريق سريع	","2024-08-02 17:41:51","2023-12-31"
"1165","طريق رئيسي"," فردي","2025-08-15 19:12:31","2024-12-31"
"1150","فردي	","طريق رئيسي	","2024-08-02 17:41:51","2023-12-31"
"6279"," أطوال الطرق بدبي (مسرب /كم) المنفذه من قبل المطور","  حسب التصنيف والإجمالي","2025-08-15 19:12:31","2024-12-31"
"821","اطوال الطريق - طريق حر ","فردي","2025-08-15 19:12:31","2024-12-31"
"765","فردي","طريق حر ","2022-01-31 20:22:46","2018-12-31"
"3145","مزدوج	","طريق رئيسي	","2024-08-02 17:41:51","2023-12-31"
"7120"," (مسرب/ كم)اجمالي أطوال الطرق ","","2025-08-15 19:12:31","2024-12-31"
"3180","طريق رئيسي","مزدوج","2025-08-15 19:12:31","2024-12-31"
"4128","مزدوجه","طرق صناعية/ تجارية","2021-08-05 12:31:35","2020-12-31"
"1126","فردي","طريق رئيسي","2021-08-05 12:31:35","2020-12-31"
"1621","طريق سريع","مزدوج","2025-08-15 19:12:31","2024-12-31"
"1886","مزدوج	","طريق مجمع	","2024-08-02 17:39:20","2022-12-31"
"1843","فردية","طرق صناعية / تجارية","2021-08-05 12:31:35","2020-12-31"
"811","فردي","طريق حر","2021-08-05 12:31:35","2020-12-31"
"1866","مزدوج","طريق مجمع","2021-08-05 12:31:35","2020-12-31"
"1368","مزدوج","طريق سريع","2022-01-31 20:24:36","2019-12-31"
"1766","اطوال الطرق -طرق صناعية /تجارية -منفذه من قبل المط","فردية ","2025-08-15 19:12:31","2024-12-31"
"1852","مزدوج","طريق مجمع","2022-01-31 20:24:36","2019-12-31"
"1621","اطوال الطرق - طريق سريع ","مزدوج ","2025-08-15 19:12:31","2024-12-31"
"4128","مزدوجه","طرق صناعية/ تجارية","2022-02-03 17:58:08","2021-12-31"
"1843","فردية","طرق صناعية / تجارية","2022-01-31 20:24:36","2019-12-31"
"890"," طوال الطرق - طريق مجمع -المنفذه من قبل الهيئة","فردي ","2025-08-15 19:12:31","2024-12-31"
"0","اجمالي أطوال الطرق","مسرب/ كم","2025-08-15 19:12:31","2024-12-31"
"256","فردي","طريق سريع","2021-08-05 12:31:35","2020-12-31"
