area_km2,classification,sub_classification,load_timestamp,report_date
"10.53","مزدوج","طريق حر","2022-02-03 17:57:46","2021-12-31"
"67.17","اجمالي المساحة المعبدة كم2","","2021-08-05 12:28:55","2020-12-31"
"10.78","مزدوج","طريق رئيسي ","2022-01-31 20:23:53","2019-12-31"
"22.47","طرق محلية سكنية","فردية","2025-08-15 19:11:29","2024-12-31"
"6.83","فردية","طرق صناعية / تجارية ","2022-01-31 20:23:53","2019-12-31"
"0.83","فردي","طريق سريع ","2022-01-31 20:22:24","2018-12-31"
"1.02","فردي","طريق سريع ","2022-01-31 20:23:53","2019-12-31"
"10.99","مزدوج","طريق رئيسي","2021-08-05 12:28:55","2020-12-31"
"10.92","طريق حر","مزدوج","2025-08-15 19:11:29","2024-12-31"
"94.55","اجمالي المساحة المعبدة كم2","	طريق رئيسي	","2024-07-27 15:08:23","2023-12-31"
"4.52","فردي","طريق رئيسي","2021-08-05 12:28:55","2020-12-31"
"9.87","مزدوج","طريق رئيسي","2020-02-03 15:26:35","2018-12-31"
"11.21","طريق رئيسي","مزدوج","2025-08-15 19:11:29","2024-12-31"
"1.34","	فردي	","طريق سريع	","2024-07-27 15:05:53","2022-12-31"
"6.98","فردية","	طرق صناعية / تجارية","2024-07-27 15:08:23","2023-12-31"
"3.46","فردي","	طريق حر","2024-07-27 15:08:23","2023-12-31"
"14.05","فردية","طرق محلية سكنية ","2022-01-31 20:23:53","2019-12-31"
"11.21","مزدوج","	طريق رئيسي","2024-07-27 15:08:23","2023-12-31"
"25.54","المساحة المعبدة المنفذة من قبل المطورين والجهات ال","حسب التصنيف والإجمالي","2025-08-15 19:11:29","2024-12-31"
"1.34","فردي","	طريق سريع","2024-07-27 15:08:23","2023-12-31"
"10.18","مزدوج","طريق حر ","2022-01-31 20:23:53","2019-12-31"
"95.58","إجمالي المساحة المعبدة (كم2) ","","2025-08-15 19:11:29","2024-12-31"
"6.83","فردية","طرق صناعية / تجارية","2022-02-03 17:57:46","2021-12-31"
"10.77","	مزدوج	","طريق حر	","2024-07-27 15:05:53","2022-12-31"
"1.06","فردي","طريق سريع","2022-02-03 17:57:46","2021-12-31"
"1.06","فردي","طريق سريع","2021-08-05 12:28:55","2020-12-31"
"5.92","المساحة المعبدة - طريق سريع","مزدوج ","2025-08-15 19:11:29","2024-12-31"
"4.13","مزدوج","طريق سريع ","2022-01-31 20:22:24","2018-12-31"
"11.21","	مزدوج	","طريق رئيسي	","2024-07-27 15:05:53","2022-12-31"
"7.2","المساحة المعبدة - طريق مجمع - المنفذه من قبل الهيئ","مزدوج ","2025-08-15 19:11:29","2024-12-31"
"7.01","مزدوج","طريق مجمع ","2022-01-31 20:23:53","2019-12-31"
"7.01","مزدوج","طريق مجمع","2020-02-03 15:26:35","2018-12-31"
"1.39","المساحة المعبدة - طريق مجم- المنفذه من قبل المطوري"," فردي ","2025-08-15 19:11:29","2024-12-31"
"3.36","فردي","طريق مجمع ","2022-01-31 20:22:24","2018-12-31"
"6.83","فردي","طرق صناعية/تجارية ","2022-01-31 20:22:24","2018-12-31"
"3.46","فردي","طريق حر","2021-08-05 12:28:55","2020-12-31"
"16.66"," طريق مجمع","مزدوج","2025-08-15 19:11:29","2024-12-31"
"6.83","فردية","طرق صناعية / تجارية","2021-08-05 12:28:55","2020-12-31"
"4.99","مزدوج","طريق سريع ","2022-01-31 20:23:53","2019-12-31"
"0","إجمالي المساحة المعبدة","كم2","2025-08-15 19:11:29","2024-12-31"
"65.96","اجمالي المساحة المعبدة كم2","","2022-01-31 20:23:53","2019-12-31"
"14.7","فردية","	طرق محلية سكنية","2024-07-27 15:08:23","2023-12-31"
"0.83","فردي","طريق سريع","2020-02-03 15:26:35","2018-12-31"
"92.14","اجمالي المساحة المعبدة كم2","طريق رئيسي","2022-02-03 17:57:46","2021-12-31"
"5.92","طريق سريع","مزدوج","2025-08-15 19:11:29","2024-12-31"
"14.05","فردي","طرق محلية سكنية ","2022-01-31 20:22:24","2018-12-31"
"3.49","المساحة المعبدة - طريق حر","فردي","2025-08-15 19:11:29","2024-12-31"
"3.33","فردي","طريق حر ","2022-01-31 20:23:53","2019-12-31"
"3.38","فردي","طريق مجمع","2022-02-03 17:57:46","2021-12-31"
"7.18","المساحة المعبدة - طرق صناعية / تجارية- المنفذه من ","فردية","2025-08-15 19:11:29","2024-12-31"
"10.99","مزدوج","طريق رئيسي","2022-02-03 17:57:46","2021-12-31"
"7.51","المساحة المعبدة - طرق صناعية / تجارية- المنفذه من ","مزدوجة","2025-08-15 19:11:29","2024-12-31"
"3.27","فردي","طريق حر ","2022-01-31 20:22:24","2018-12-31"
"4.56","	فردي	","طريق رئيسي	","2024-07-27 15:05:53","2022-12-31"
"4.56","فردي","	طريق رئيسي","2024-07-27 15:08:23","2023-12-31"
"10.09","مزدوج","طريق حر ","2022-01-31 20:22:24","2018-12-31"
