date,hour,zone,congestion_index,estimated_vehicles,avg_speed_kmh,co2_emissions_kg,fuel_waste_liters,is_weekend
2025-01-01,0,Deira,0.183,538,58.7,39.68,44.3,False
2025-01-01,1,Deira,0.064,547,61.8,35.44,8.6,False
2025-01-01,2,Deira,0.073,529,61.2,34.63,18.4,False
2025-01-01,3,Deira,0.002,519,62.6,31.21,15.9,False
2025-01-01,4,Deira,0.0,451,70.2,27.06,0.0,False
2025-01-01,5,Deira,0.153,558,57.1,39.89,40.2,False
2025-01-01,6,Deira,0.183,560,61.0,41.27,35.0,False
2025-01-01,7,Deira,0.726,881,33.1,100.83,166.6,False
2025-01-01,8,Deira,1.0,1004,17.8,135.54,199.8,False
2025-01-01,9,Deira,0.817,866,28.8,105.02,138.8,False
2025-01-01,10,Deira,0.598,803,35.1,84.17,129.4,False
2025-01-01,11,Deira,0.641,812,32.3,87.73,128.6,False
2025-01-01,12,Deira,0.685,873,31.3,97.22,138.8,False
2025-01-01,13,Deira,0.778,870,32.0,102.98,162.3,False
2025-01-01,14,Deira,0.67,849,34.6,93.57,154.9,False
2025-01-01,15,Deira,0.647,836,38.4,90.75,119.5,False
2025-01-01,16,Deira,0.655,809,35.6,88.26,115.4,False
2025-01-01,17,Deira,0.823,886,29.7,107.85,181.9,False
2025-01-01,18,Deira,1.0,993,21.7,134.06,202.3,False
2025-01-01,19,Deira,0.945,976,23.8,127.75,169.9,False
2025-01-01,20,Deira,1.0,964,15.2,130.14,191.1,False
2025-01-01,21,Deira,0.589,835,35.5,86.99,132.7,False
2025-01-01,22,Deira,0.401,738,47.6,66.46,87.0,False
2025-01-01,23,Deira,0.245,612,52.7,47.97,62.6,False
2025-01-01,0,Bur Dubai,0.122,531,57.7,36.73,28.3,False
2025-01-01,1,Bur Dubai,0.06,568,62.3,36.65,20.2,False
2025-01-01,2,Bur Dubai,0.14,569,60.9,40.11,39.1,False
2025-01-01,3,Bur Dubai,0.0,561,63.8,33.66,31.1,False
2025-01-01,4,Bur Dubai,0.001,554,64.0,33.28,0.0,False
2025-01-01,5,Bur Dubai,0.096,502,62.4,33.72,37.4,False
2025-01-01,6,Bur Dubai,0.208,585,60.7,44.23,51.2,False
2025-01-01,7,Bur Dubai,0.387,755,45.8,67.23,91.4,False
2025-01-01,8,Bur Dubai,0.993,999,23.5,134.32,207.9,False
2025-01-01,9,Bur Dubai,0.746,887,29.6,102.87,162.4,False
2025-01-01,10,Bur Dubai,0.521,791,43.8,78.37,120.7,False
2025-01-01,11,Bur Dubai,0.595,781,41.6,81.7,121.7,False
2025-01-01,12,Bur Dubai,0.634,815,38.1,87.64,152.4,False
2025-01-01,13,Bur Dubai,0.648,790,34.0,85.79,149.0,False
2025-01-01,14,Bur Dubai,0.628,756,34.9,80.94,111.5,False
2025-01-01,15,Bur Dubai,0.481,743,46.3,71.38,86.0,False
2025-01-01,16,Bur Dubai,0.759,881,27.7,103.0,146.0,False
2025-01-01,17,Bur Dubai,0.876,935,28.5,117.55,156.6,False
2025-01-01,18,Bur Dubai,1.0,982,15.6,132.57,182.4,False
2025-01-01,19,Bur Dubai,0.942,938,22.2,122.52,180.4,False
2025-01-01,20,Bur Dubai,0.753,868,27.5,101.12,147.9,False
2025-01-01,21,Bur Dubai,0.481,712,45.5,68.41,68.8,False
2025-01-01,22,Bur Dubai,0.338,714,51.9,60.93,90.2,False
2025-01-01,23,Bur Dubai,0.015,497,64.4,30.37,0.0,False
2025-01-01,0,Downtown,0.0,475,74.2,28.5,0.0,False
2025-01-01,1,Downtown,0.178,639,54.9,46.86,27.6,False
2025-01-01,2,Downtown,0.177,607,56.8,44.46,8.0,False
2025-01-01,3,Downtown,0.176,626,53.2,45.82,37.0,False
2025-01-01,4,Downtown,0.142,579,61.4,40.92,35.1,False
2025-01-01,5,Downtown,0.014,481,59.1,29.36,6.2,False
2025-01-01,6,Downtown,0.371,658,50.6,57.8,105.4,False
2025-01-01,7,Downtown,0.746,852,31.4,98.79,120.7,False
2025-01-01,8,Downtown,1.0,1008,22.8,136.08,179.0,False
2025-01-01,9,Downtown,0.943,999,19.5,130.63,199.3,False
2025-01-01,10,Downtown,0.948,988,17.8,129.53,172.8,False
2025-01-01,11,Downtown,0.73,834,31.4,95.67,145.9,False
2025-01-01,12,Downtown,0.838,909,26.7,111.7,187.2,False
2025-01-01,13,Downtown,0.955,989,23.0,130.16,189.7,False
2025-01-01,14,Downtown,0.687,811,30.3,90.47,143.2,False
2025-01-01,15,Downtown,0.784,903,28.7,107.26,157.2,False
2025-01-01,16,Downtown,0.792,858,31.7,102.47,151.8,False
2025-01-01,17,Downtown,1.0,951,19.7,128.39,219.1,False
2025-01-01,18,Downtown,1.0,938,24.0,126.63,204.9,False
2025-01-01,19,Downtown,1.0,1039,22.8,140.27,187.9,False
2025-01-01,20,Downtown,1.0,997,19.5,134.59,205.3,False
2025-01-01,21,Downtown,0.729,874,30.0,100.21,142.4,False
2025-01-01,22,Downtown,0.285,634,51.8,51.6,33.5,False
2025-01-01,23,Downtown,0.247,623,50.2,48.93,59.7,False
2025-01-01,0,Marina,0.0,512,64.1,30.72,3.6,False
2025-01-01,1,Marina,0.183,614,55.7,45.29,34.2,False
2025-01-01,2,Marina,0.0,504,64.5,30.24,11.3,False
2025-01-01,3,Marina,0.13,594,59.2,41.41,35.9,False
2025-01-01,4,Marina,0.21,605,51.9,45.84,70.7,False
2025-01-01,5,Marina,0.09,553,66.7,36.9,10.2,False
2025-01-01,6,Marina,0.16,577,60.9,41.53,33.4,False
2025-01-01,7,Marina,0.64,840,28.9,90.71,143.1,False
2025-01-01,8,Marina,0.837,918,25.3,112.72,177.1,False
2025-01-01,9,Marina,0.728,880,32.7,100.83,136.8,False
2025-01-01,10,Marina,0.456,720,47.2,67.82,99.9,False
2025-01-01,11,Marina,0.462,761,42.8,72.02,102.7,False
2025-01-01,12,Marina,0.621,752,36.4,80.14,83.9,False
2025-01-01,13,Marina,0.729,898,26.1,102.97,89.0,False
2025-01-01,14,Marina,0.526,772,41.9,76.76,105.5,False
2025-01-01,15,Marina,0.633,812,31.7,87.25,122.3,False
2025-01-01,16,Marina,0.686,867,33.3,96.66,125.4,False
2025-01-01,17,Marina,0.687,830,33.7,92.55,123.9,False
2025-01-01,18,Marina,0.8,922,31.8,110.62,169.2,False
2025-01-01,19,Marina,0.961,991,18.7,130.91,202.7,False
2025-01-01,20,Marina,0.665,864,36.7,94.95,121.6,False
2025-01-01,21,Marina,0.508,726,41.1,71.24,110.2,False
2025-01-01,22,Marina,0.447,718,43.6,67.16,90.6,False
2025-01-01,23,Marina,0.244,614,54.0,48.07,61.3,False
2025-01-01,0,JBR,0.078,528,62.3,34.79,6.7,False
2025-01-01,1,JBR,0.102,602,56.8,40.72,9.4,False
2025-01-01,2,JBR,0.056,501,63.5,32.18,11.8,False
2025-01-01,3,JBR,0.0,459,62.0,27.54,2.1,False
2025-01-01,4,JBR,0.0,474,67.5,28.44,22.6,False
2025-01-01,5,JBR,0.0,462,58.8,27.72,0.0,False
2025-01-01,6,JBR,0.044,512,58.0,32.42,39.8,False
2025-01-01,7,JBR,0.532,744,39.5,74.31,120.2,False
2025-01-01,8,JBR,0.792,922,25.9,110.08,170.5,False
2025-01-01,9,JBR,0.614,812,35.4,86.13,157.8,False
2025-01-01,10,JBR,0.543,742,39.9,74.76,126.8,False
2025-01-01,11,JBR,0.445,748,48.0,69.84,72.2,False
2025-01-01,12,JBR,0.536,833,43.3,83.46,114.0,False
2025-01-01,13,JBR,0.467,714,45.3,67.85,114.5,False
2025-01-01,14,JBR,0.597,796,41.8,83.41,105.2,False
2025-01-01,15,JBR,0.477,740,43.1,70.87,103.8,False
