date,hour,day_of_week,is_weekend,intersection_id,intersection_name,vehicle_count,avg_speed_kmh,avg_wait_time_sec,congestion_level,queue_length_ns,queue_length_ew
2025-01-01,0,Wednesday,False,INT-01,Al Rigga - Salahuddin,66,57.2,12.7,0.069,3,0
2025-01-01,1,Wednesday,False,INT-01,Al Rigga - Salahuddin,59,55.0,0.0,0.061,0,2
2025-01-01,2,Wednesday,False,INT-01,Al Rigga - Salahuddin,53,52.5,3.7,0.055,0,0
2025-01-01,3,Wednesday,False,INT-01,Al Rigga - Salahuddin,27,56.6,10.0,0.028,5,1
2025-01-01,4,Wednesday,False,INT-01,Al Rigga - Salahuddin,40,56.2,0.0,0.042,2,1
2025-01-01,5,Wednesday,False,INT-01,Al Rigga - Salahuddin,57,53.7,6.9,0.059,0,1
2025-01-01,6,Wednesday,False,INT-01,Al Rigga - Salahuddin,154,52.5,10.4,0.16,9,12
2025-01-01,7,Wednesday,False,INT-01,Al Rigga - Salahuddin,519,31.5,86.6,0.54,82,80
2025-01-01,8,Wednesday,False,INT-01,Al Rigga - Salahuddin,759,15.7,100.2,0.79,178,177
2025-01-01,9,Wednesday,False,INT-01,Al Rigga - Salahuddin,572,29.6,94.6,0.595,103,103
2025-01-01,10,Wednesday,False,INT-01,Al Rigga - Salahuddin,426,34.2,48.7,0.443,58,56
2025-01-01,11,Wednesday,False,INT-01,Al Rigga - Salahuddin,375,42.5,47.2,0.39,45,44
2025-01-01,12,Wednesday,False,INT-01,Al Rigga - Salahuddin,405,37.0,70.4,0.421,52,54
2025-01-01,13,Wednesday,False,INT-01,Al Rigga - Salahuddin,547,39.4,72.7,0.569,92,93
2025-01-01,14,Wednesday,False,INT-01,Al Rigga - Salahuddin,346,43.7,60.9,0.36,37,36
2025-01-01,15,Wednesday,False,INT-01,Al Rigga - Salahuddin,310,40.2,53.9,0.323,29,29
2025-01-01,16,Wednesday,False,INT-01,Al Rigga - Salahuddin,516,34.5,79.9,0.537,83,85
2025-01-01,17,Wednesday,False,INT-01,Al Rigga - Salahuddin,657,22.2,105.2,0.684,134,133
2025-01-01,18,Wednesday,False,INT-01,Al Rigga - Salahuddin,858,10.9,102.0,0.893,230,228
2025-01-01,19,Wednesday,False,INT-01,Al Rigga - Salahuddin,651,24.8,95.9,0.677,132,128
2025-01-01,20,Wednesday,False,INT-01,Al Rigga - Salahuddin,481,37.2,71.9,0.5,68,70
